"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2020","1.949","1.643","1.974","1.521","3.57M","18.84%"
"03/01/2020","1.640","1.695","1.998","1.519","3.84M","-2.61%"
"02/01/2020","1.684","1.852","2.025","1.642","4.04M","-8.53%"
"01/01/2020","1.841","2.184","2.255","1.812","3.85M","-15.90%"
"12/01/2019","2.189","2.315","2.510","2.138","3.77M","-4.03%"
"11/01/2019","2.281","2.637","2.905","2.270","3.66M","-13.37%"
"10/01/2019","2.633","2.325","2.738","2.187","4.11M","13.00%"
"09/01/2019","2.330","2.288","2.710","2.269","3.44M","1.97%"
"08/01/2019","2.285","2.238","2.333","2.029","3.25M","2.33%"
"07/01/2019","2.233","2.330","2.489","2.107","3.08M","-3.25%"
"06/01/2019","2.308","2.444","2.475","2.159","2.65M","-5.95%"
"05/01/2019","2.454","2.572","2.700","2.444","2.50M","-4.70%"
"04/01/2019","2.575","2.663","2.733","2.439","2.30M","-3.27%"
"03/01/2019","2.662","2.805","2.897","2.656","1.95M","-5.33%"
"02/01/2019","2.812","2.832","2.908","2.543","2.24M","-0.07%"
"01/01/2019","2.814","2.921","3.722","2.789","2.70M","-4.29%"
"12/01/2018","2.940","4.527","4.666","2.930","2.76M","-36.25%"
"11/01/2018","4.612","3.284","4.929","3.166","4.45M","41.43%"
"10/01/2018","3.261","3.007","3.368","3.001","3.99M","8.41%"
"09/01/2018","3.008","2.900","3.111","2.752","2.80M","3.16%"
"08/01/2018","2.916","2.780","2.993","2.740","2.69M","4.82%"
"07/01/2018","2.782","2.920","2.927","2.704","2.26M","-4.86%"
"06/01/2018","2.924","2.951","3.053","2.873","2.68M","-0.95%"
"05/01/2018","2.952","2.764","2.988","2.695","2.87M","6.84%"
"04/01/2018","2.763","2.730","2.839","2.621","2.91M","1.10%"
"03/01/2018","2.733","2.668","2.811","2.565","2.55M","2.47%"
"02/01/2018","2.667","2.956","2.978","2.530","3.10M","-10.95%"
"01/01/2018","2.995","3.030","3.661","2.746","5.35M","1.42%"
"12/01/2017","2.953","3.032","3.127","2.568","4.23M","-2.38%"
"11/01/2017","3.025","2.906","3.231","2.797","3.82M","4.45%"
